ID RUTA,Mes,Año,Estado Origen,Estado Destino,Ciudad Origen,Ciudad Destino,Compañia Transportadora,Tipo de Transporte,Tipo de combustible usado,Tipo de Movimiento,Costo(Pesos),Carga Maxima(TON),Rendimiento por litro,Costo del diesel,Tiempo en Transito
,Diciembre,2014,SP,JC,SAN LUIS POTOSI,ZAPOPAN,TRANSPORTES COLORADO  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$9,464.15",22,2.55,$13.94,8
,Diciembre,2014,CO,SP,RAMOS ARIZPE,SAN LUIS POTOSI,TRANSPORTES COLORADO  S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,"$7,803.99",22,2.55,$13.94,8
,Diciembre,2014,NL,SP,GARCIA,SAN LUIS POTOSI,TRANSPORTES COLORADO  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$14,141.00",22,2.55,$13.94,10
,Diciembre,2014,EM,CO,TULTITLAN,RAMOS ARIZPE,TRANSPORTES COLORADO  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$16,862.76",22,2.55,$13.94,22
,Diciembre,2014,CO,GT,RAMOS ARIZPE,SILAO,TRANSPORTES COLORADO  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$18,547.76",22,2.55,$13.94,12
,Diciembre,2014,CO,CO,RAMOS ARIZPE,RAMOS ARIZPE,TRANSPORTES COLORADO  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$1,344.78",22,2.55,$13.94,1
,Septiembre,2014,CO,GT,SALTILLO,SILAO,TRANSPORTES COLUNGA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$13,275.02",22,2.55,$13.61,12
,Septiembre,2014,CO,GT,RAMOS ARIZPE,SILAO,TRANSPORTES COLUNGA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$13,275.02",22,2.55,$13.61,12
,Septiembre,2014,NL,GT,VILLA DE GARCIA,SILAO,TRANSPORTES COLUNGA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$15,088.00",22,2.55,$13.61,12
,Septiembre,2014,CO,CO,SALTILLO,RAMOS ARIZPE,TRANSPORTES COLUNGA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$5,762.08",22,2.55,$13.61,1
,Septiembre,2014,GT,CO,SILAO,RAMOS ARIZPE,TRANSPORTES COLUNGA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$15,159.64",22,2.55,$13.61,12
,Septiembre,2014,NL,CO,APODACA,RAMOS ARIZPE,TRANSPORTES COLUNGA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$5,864.26",22,2.55,$13.61,2
,Septiembre,2014,SP,CO,SAN LUIS POTOSI,RAMOS ARIZPE,TRANSPORTES COLUNGA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$9,165.71",22,2.55,$13.61,7
,Septiembre,2014,NL,CO,VILLA DE GARCIA,RAMOS ARIZPE,TRANSPORTES COLUNGA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$2,864.78",22,2.55,$13.61,2
,Septiembre,2014,NL,CO,VILLA DE GARCIA,RAMOS ARIZPE,TRANSPORTES COLUNGA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$3,164.78",22,2.55,$13.61,2
,Septiembre,2014,PL,CO,PUEBLA,RAMOS ARIZPE,TRANSPORTES COLUNGA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$18,359.46",22,2.55,$13.61,18
,Septiembre,2014,PL,CO,PUEBLA,RAMOS ARIZPE,TRANSPORTES COLUNGA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$18,694.30",22,2.55,$13.61,18
,Septiembre,2014,NL,CO,MONTERREY,SALTILLO,TRANSPORTES COLUNGA  S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,"$4,500.00",22,2.55,$13.61,2
,Octubre,2014,CO,GT,SALTILLO,SILAO,TRANSPORTES COLUNGA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$13,321.93",22,2.55,$13.72,12
,Octubre,2014,CO,GT,RAMOS ARIZPE,SILAO,TRANSPORTES COLUNGA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$13,321.93",22,2.55,$13.72,12
,Octubre,2014,NL,GT,VILLA DE GARCIA,SILAO,TRANSPORTES COLUNGA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$15,138.81",22,2.55,$13.72,12
,Octubre,2014,CO,CO,SALTILLO,RAMOS ARIZPE,TRANSPORTES COLUNGA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$5,765.69",22,2.55,$13.72,1
,Octubre,2014,GT,CO,SILAO,RAMOS ARIZPE,TRANSPORTES COLUNGA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$15,207.41",22,2.55,$13.72,12
,Octubre,2014,NL,CO,APODACA,RAMOS ARIZPE,TRANSPORTES COLUNGA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$5,872.44",22,2.55,$13.72,2
,Octubre,2014,SP,CO,SAN LUIS POTOSI,RAMOS ARIZPE,TRANSPORTES COLUNGA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$9,197.61",22,2.55,$13.72,7
,Octubre,2014,NL,CO,VILLA DE GARCIA,RAMOS ARIZPE,TRANSPORTES COLUNGA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$2,869.26",22,2.55,$13.72,2
,Octubre,2014,NL,CO,VILLA DE GARCIA,RAMOS ARIZPE,TRANSPORTES COLUNGA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$3,169.26",22,2.55,$13.72,2
,Octubre,2014,PL,CO,PUEBLA,RAMOS ARIZPE,TRANSPORTES COLUNGA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$18,429.16",22,2.55,$13.72,18
,Octubre,2014,PL,CO,PUEBLA,RAMOS ARIZPE,TRANSPORTES COLUNGA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$18,764.02",22,2.55,$13.72,18
,Octubre,2014,NL,CO,MONTERREY,SALTILLO,TRANSPORTES COLUNGA  S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,"$4,500.00",22,2.55,$13.72,2
,Noviembre,2014,CO,GT,SALTILLO,SILAO,TRANSPORTES COLUNGA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$13,368.84",22,2.55,$13.83,12
,Noviembre,2014,CO,GT,RAMOS ARIZPE,SILAO,TRANSPORTES COLUNGA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$13,368.84",22,2.55,$13.83,12
,Noviembre,2014,NL,GT,VILLA DE GARCIA,SILAO,TRANSPORTES COLUNGA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$15,189.62",22,2.55,$13.83,12
,Noviembre,2014,CO,CO,SALTILLO,RAMOS ARIZPE,TRANSPORTES COLUNGA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$5,769.30",22,2.55,$13.83,1
,Noviembre,2014,GT,CO,SILAO,RAMOS ARIZPE,TRANSPORTES COLUNGA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$15,255.19",22,2.55,$13.83,12
,Noviembre,2014,NL,CO,APODACA,RAMOS ARIZPE,TRANSPORTES COLUNGA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$5,880.63",22,2.55,$13.83,2
,Noviembre,2014,SP,CO,SAN LUIS POTOSI,RAMOS ARIZPE,TRANSPORTES COLUNGA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$9,229.52",22,2.55,$13.83,7
,Noviembre,2014,NL,CO,VILLA DE GARCIA,RAMOS ARIZPE,TRANSPORTES COLUNGA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$2,873.73",22,2.55,$13.83,2
,Noviembre,2014,NL,CO,VILLA DE GARCIA,RAMOS ARIZPE,TRANSPORTES COLUNGA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$3,173.73",22,2.55,$13.83,2
,Noviembre,2014,PL,CO,PUEBLA,RAMOS ARIZPE,TRANSPORTES COLUNGA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$18,498.87",22,2.55,$13.83,18
,Noviembre,2014,PL,CO,PUEBLA,RAMOS ARIZPE,TRANSPORTES COLUNGA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$18,833.73",22,2.55,$13.83,18
,Noviembre,2014,NL,CO,MONTERREY,SALTILLO,TRANSPORTES COLUNGA  S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,"$4,500.00",22,2.55,$13.83,2
,Diciembre,2014,CO,GT,SALTILLO,SILAO,TRANSPORTES COLUNGA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$13,368.84",22,2.55,$13.94,12
,Diciembre,2014,CO,GT,RAMOS ARIZPE,SILAO,TRANSPORTES COLUNGA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$13,368.84",22,2.55,$13.94,12
,Diciembre,2014,NL,GT,VILLA DE GARCIA,SILAO,TRANSPORTES COLUNGA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$15,189.62",22,2.55,$13.94,12
,Diciembre,2014,CO,CO,SALTILLO,RAMOS ARIZPE,TRANSPORTES COLUNGA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$5,769.30",22,2.55,$13.94,1
,Diciembre,2014,GT,CO,SILAO,RAMOS ARIZPE,TRANSPORTES COLUNGA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$15,255.19",22,2.55,$13.94,12
,Diciembre,2014,NL,CO,APODACA,RAMOS ARIZPE,TRANSPORTES COLUNGA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$5,880.63",22,2.55,$13.94,2
,Diciembre,2014,SP,CO,SAN LUIS POTOSI,RAMOS ARIZPE,TRANSPORTES COLUNGA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$9,229.52",22,2.55,$13.94,7
,Diciembre,2014,NL,CO,VILLA DE GARCIA,RAMOS ARIZPE,TRANSPORTES COLUNGA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$2,873.73",22,2.55,$13.94,2
,Diciembre,2014,NL,CO,VILLA DE GARCIA,RAMOS ARIZPE,TRANSPORTES COLUNGA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$3,173.73",22,2.55,$13.94,2
,Diciembre,2014,PL,CO,PUEBLA,RAMOS ARIZPE,TRANSPORTES COLUNGA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$18,498.87",22,2.55,$13.94,18
,Diciembre,2014,PL,CO,PUEBLA,RAMOS ARIZPE,TRANSPORTES COLUNGA  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$18,833.73",22,2.55,$13.94,18
,Diciembre,2014,NL,CO,MONTERREY,SALTILLO,TRANSPORTES COLUNGA  S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,"$4,500.00",22,2.55,$13.94,2
,Diciembre,2014,NL,SP,APODACA,SAN LUIS POTOSI,TRANSPORTES LARMEX  S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,"$10,780.00",22,2.55,$13.94,8
,Diciembre,2014,TM,SP,NUEVO LAREDO,SAN LUIS POTOSI,TRANSPORTES LARMEX  S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,"$10,780.00",22,2.55,$13.94,15
,Diciembre,2014,TM,DF,NUEVO LAREDO,CIUDAD DE MEXICO,TRANSPORTES LARMEX  S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,"$16,380.00",22,2.55,$13.94,26
,Diciembre,2014,TM,SP,NUEVO LAREDO,SAN LUIS POTOSI,TRANSPORTES LARMEX  S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,"$10,220.00",22,2.55,$13.94,15
,Diciembre,2014,TM,NL,NUEVO LAREDO,APODACA,TRANSPORTES LARMEX  S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,"$4,620.00",22,2.55,$13.94,4
,Diciembre,2014,TM,JC,NUEVO LAREDO,GUADALAJARA,TRANSPORTES LARMEX  S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,"$15,680.00",22,2.55,$13.94,18
,Diciembre,2014,TM,NL,NUEVO LAREDO,APODACA,TRANSPORTES LARMEX  S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,"$4,350.00",22,2.55,$13.94,4
,Diciembre,2014,TM,SP,NUEVO LAREDO,SAN LUIS POTOSI,TRANSPORTES LARMEX  S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,"$9,870.00",22,2.55,$13.94,15
,Diciembre,2014,TM,CO,NUEVO LAREDO,ARTEAGA,TRANSPORTES LARMEX  S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,"$7,980.00",22,2.55,$13.94,6
,Diciembre,2014,NL,TM,APODACA,NUEVO LAREDO,TRANSPORTES LARMEX  S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,"$4,620.00",22,2.55,$13.94,4
,Diciembre,2014,CO,TM,SALTILLO,NUEVO LAREDO,TRANSPORTES LARMEX  S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,"$5,180.00",22,2.55,$13.94,6
,Diciembre,2014,CO,TM,ARTEAGA,NUEVO LAREDO,TRANSPORTES LARMEX  S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,"$6,580.00",22,2.55,$13.94,6
,Diciembre,2014,CO,TM,ARTEAGA,NUEVO LAREDO,TRANSPORTES LARMEX  S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,"$7,980.00",22,2.55,$13.94,6
,Diciembre,2014,CO,TM,ARTEAGA,NUEVO LAREDO,TRANSPORTES LARMEX  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$9,380.00",22,2.55,$13.94,6
,Diciembre,2014,EM,TM,CUAUTITLAN IZCALLI,NUEVO LAREDO,TRANSPORTES LARMEX  S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,"$16,380.00",22,2.55,$13.94,24
,Diciembre,2014,EM,TM,ECATEPEC,NUEVO LAREDO,TRANSPORTES LARMEX  S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,"$16,380.00",22,2.55,$13.94,24
,Diciembre,2014,DG,TM,GOMEZ PALACIO,NUEVO LAREDO,TRANSPORTES LARMEX  S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,"$19,180.00",22,2.55,$13.94,12
,Diciembre,2014,QO,TM,QUERETARO,NUEVO LAREDO,TRANSPORTES LARMEX  S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,"$13,580.00",22,2.55,$13.94,16
,Diciembre,2014,NL,TM,APODACA,NUEVO LAREDO,TRANSPORTES LARMEX  S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,"$4,480.00",22,2.55,$13.94,4
,Diciembre,2014,NL,TM,APODACA,NUEVO LAREDO,TRANSPORTES LARMEX  S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,"$4,270.00",22,2.55,$13.94,4
,Diciembre,2014,NL,TM,APODACA,NUEVO LAREDO,TRANSPORTES LARMEX  S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,"$4,620.00",22,2.55,$13.94,4
,Diciembre,2014,NL,TM,GARCIA,NUEVO LAREDO,TRANSPORTES LARMEX  S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,"$4,480.00",22,2.55,$13.94,4
,Diciembre,2014,NL,TM,SANTA CATARINA,NUEVO LAREDO,TRANSPORTES LARMEX  S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,"$4,620.00",22,2.55,$13.94,4
,Diciembre,2014,QO,TM,SAN JUAN DEL RIO,NUEVO LAREDO,TRANSPORTES LARMEX  S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,"$13,580.00",22,2.55,$13.94,16
,Diciembre,2014,SP,TM,SAN LUIS POTOSI,NUEVO LAREDO,TRANSPORTES LARMEX  S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,"$10,780.00",22,2.55,$13.94,16
,Diciembre,2014,SP,TM,SAN LUIS POTOSI,NUEVO LAREDO,TRANSPORTES LARMEX  S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,"$10,360.00",22,2.55,$13.94,16
,Diciembre,2014,SP,TM,SAN LUIS POTOSI,NUEVO LAREDO,TRANSPORTES LARMEX  S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,"$10,080.00",22,2.55,$13.94,16
,Diciembre,2014,TM,TM,NUEVO LAREDO,NUEVO LAREDO,TRANSPORTES LARMEX  S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,"$2,380.00",22,2.55,$13.94,1
,Diciembre,2014,CO,NL,RAMOS ARIZPE,GARCIA,TRANSPORTES LARMEX  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$3,200.00",22,2.55,$13.94,2
,Diciembre,2014,CO,NL,RAMOS ARIZPE,APODACA,TRANSPORTES LARMEX  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$3,200.00",22,2.55,$13.94,2
,Diciembre,2014,NL,CO,APODACA,RAMOS ARIZPE,TRANSPORTES LARMEX  S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,"$3,200.00",22,2.55,$13.94,2
,Diciembre,2014,SP,CO,SAN LUIS POTOSI,RAMOS ARIZPE,TRANSPORTES LARMEX  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$10,200.00",22,2.55,$13.94,7
,Diciembre,2014,CO,TM,RAMOS ARIZPE,REYNOSA,TRANSPORTES LARMEX  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$8,900.00",22,2.55,$13.94,6
,Diciembre,2014,CO,CO,SALTILLO,RAMOS ARIZPE,TRANSPORTES LARMEX  S.A. DE C.V.,48FT/53FT,Diesel ,Redondo,"$2,350.00",22,2.55,$13.94,1
,Diciembre,2014,HG,SP,PACHUCA,VILLA DE REYES,TRANSPORTES LARMEX  S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,"$10,150.00",22,2.55,$13.94,7
,Diciembre,2014,SR,SP,HERMOSILLO,VILLA DE REYES,TRANSPORTES LARMEX  S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,"$36,250.00",22,2.55,$13.94,48
,Diciembre,2014,VZ,SP,VERACRUZ,VILLA DE REYES,TRANSPORTES LARMEX  S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,"$9,425.00",22,2.55,$13.94,12
,Diciembre,2014,ZS,SP,FRESNILLO,VILLA DE REYES,TRANSPORTES LARMEX  S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,"$6,090.00",22,2.55,$13.94,4
,Diciembre,2014,AG,SP,AGUASCALIENTES,VILLA DE REYES,TRANSPORTES LARMEX  S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,"$5,075.00",22,2.55,$13.94,4
,Diciembre,2014,NL,SP,APODACA,VILLA DE REYES,TRANSPORTES LARMEX  S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,"$10,875.00",22,2.55,$13.94,9
,Diciembre,2014,TM,SP,REYNOSA,VILLA DE REYES,TRANSPORTES LARMEX  S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,"$18,125.00",22,2.55,$13.94,12
,Diciembre,2014,EM,SP,TOLUCA,VILLA DE REYES,TRANSPORTES LARMEX  S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,"$9,425.00",22,2.55,$13.94,5
,Diciembre,2014,GT,SP,SILAO,VILLA DE REYES,TRANSPORTES LARMEX  S.A. DE C.V.,48FT/53FT,Diesel ,Sencillo,"$4,640.00",22,2.55,$13.94,4
